,Symbol,Sector,Final_Score_Combined
0,ELP,Utilities,66.13254377476187
1,PAM,Utilities,61.80329130685594
2,PRDO,Consumer Defensive,61.62027454241959
3,UGI,Utilities,61.563172952565246
4,OPFI,Financial Services,61.43201386064367
5,KEP,Utilities,61.361074278738435
6,REPX,Energy,60.30535230724917
7,SIM,Basic Materials,59.86855713033779
8,CMCL,Basic Materials,59.853462974739
9,NWE,Utilities,59.7893033464167
10,USNA,Consumer Defensive,59.716227198138554
11,HDSN,Basic Materials,59.059810912389196
12,DDI,Communication Services,59.02806478124043
13,DAVE,Technology,59.00320080115537
14,HESM,Energy,59.00294116751253
15,NTES,Communication Services,58.900318663923926
16,SNES,Basic Materials,58.84776490518108
17,FRD,Basic Materials,58.779985381951406
18,ZEUS,Basic Materials,58.70725220646318
19,NWN,Utilities,58.704967907493796
20,UFPI,Basic Materials,58.66690433147659
21,INUV,Technology,58.590838853585666
22,MGY,Energy,58.362727696425374
23,BSM,Energy,58.04268260816634
24,EOG,Energy,58.0050826635639
25,PR,Energy,57.96099906817571
26,ZVIA,Consumer Defensive,57.952595238353055
27,APEI,Consumer Defensive,57.92920529050298
28,RMAX,Real Estate,57.872581346255956
29,BKH,Utilities,57.78755434240939
30,ED,Utilities,57.67054985152153
31,MED,Consumer Cyclical,57.609522572889766
32,CMT,Basic Materials,57.528550445017444
33,TPL,Energy,57.52074467624257
34,IMKTA,Consumer Defensive,57.50980623325003
35,LAW,Technology,57.45481294784865
36,USLM,Basic Materials,57.39128133550153
37,SLQT,Financial Services,57.3856998668042
38,MAPS,Technology,57.36932562699329
39,LOPE,Consumer Defensive,57.32084351399497
40,PYPL,Financial Services,57.31671994065038
41,OGS,Utilities,57.29020975106101
42,ACU,Consumer Defensive,57.21951292456834
43,RELY,Technology,57.14422056165824
44,NRDY,Technology,56.9449083839475
45,IPI,Basic Materials,56.91186506635998
46,VRA,Consumer Cyclical,56.84371417372098
47,TBI,Industrials,56.82251634384594
48,BCC,Basic Materials,56.79806408196188
49,BKTI,Technology,56.793961148406886
50,TACT,Technology,56.79332258867065
51,NOG,Energy,56.77385818929873
52,UHS,Healthcare,56.74914719095466
53,SM,Energy,56.74870646946355
54,YELP,Communication Services,56.74144938147326
55,SONO,Technology,56.71869142590648
56,NUS,Consumer Defensive,56.593817506372325
57,LOVE,Consumer Cyclical,56.52908486578755
58,FANG,Energy,56.52572453407539
59,WES,Energy,56.52209194784343
60,ZETA,Technology,56.51328190806439
61,PBR,Energy,56.49949683730904
62,CNX,Energy,56.4733698236616
63,KFY,Industrials,56.454503087427554
64,KGEI,Energy,56.44181104170236
65,DHX,Technology,56.44084976951582
66,STNG,Energy,56.40770280806301
67,RGP,Industrials,56.4049799421113
68,GIC,Industrials,56.40052110059291
69,HST,Real Estate,56.391291003547096
70,CHCI,Real Estate,56.36795845756817
71,MOV,Consumer Cyclical,56.29182028055153
72,CGNT,Technology,56.288705789180085
73,DLTH,Consumer Cyclical,56.24367756909963
74,FIGS,Consumer Cyclical,56.2412967272391
75,DAIO,Technology,56.235953454574215
76,APA,Energy,56.2339096152648
77,WMK,Consumer Defensive,56.227959606638834
78,SEMR,Technology,56.226365711660435
79,CCLD,Healthcare,56.19856805385766
80,CALX,Technology,56.187162664544864
81,CIVI,Energy,56.16635515590343
82,VMD,Healthcare,56.135459439134564
83,CTRE,Real Estate,56.12957786501452
84,GDOT,Financial Services,56.082817314566825
85,ARLO,Industrials,56.07318935878394
86,ASM,Basic Materials,56.037369046621556
87,HIMS,Consumer Defensive,56.006290888179265
88,AUDC,Technology,55.99223443886947
89,MHH,Industrials,55.98106159162187
90,CTRA,Energy,55.95865444813767
91,SPT,Technology,55.95686223935975
92,CCRD,Technology,55.95368148980051
93,GPOR,Energy,55.93027064715215
94,NAGE,Healthcare,55.92779692607584
95,ANF,Consumer Cyclical,55.90806862145945
96,FORR,Industrials,55.89892757284021
97,GIII,Consumer Cyclical,55.89188619967079
98,EVER,Communication Services,55.87268738631302
99,TPB,Consumer Defensive,55.84100710034468
